sampleID	name	counts	relabundance
ERR3452529	Lachnospiraceae	8.519733	0.0851973
ERR3452529	Veillonellaceae	4.931794	0.0493179
ERR3452529	Bacteroidaceae	3.703043	0.0370304
ERR3452529	Eubacteriales_unclassified	3.318097	0.033181
ERR3452529	FGB1354	3.186095	0.0318609
ERR3452529	Rikenellaceae	2.042845	0.0204284
ERR3452529	FGB2960	2.037085	0.0203708
ERR3452529	Eubacteriales_incertae_sedis	1.950786	0.0195079
ERR3452529	Odoribacteraceae	1.939367	0.0193937
ERR3452529	FGB1765	1.867697	0.018677
ERR3452529	Coriobacteriaceae	1.542048	0.0154205
ERR3452529	FGB3054	1.438521	0.0143852
ERR3452529	Coprobacillaceae	0.918588	0.00918588
ERR3452529	Acutalibacteraceae	0.799754	0.00799754
ERR3452529	Eggerthellaceae	0.795783	0.00795783
ERR3452529	FGB92044	0.792355	0.00792355
ERR3452529	Atopobiaceae	0.780534	0.00780534
ERR3452529	FGB14936	0.71438	0.0071438
ERR3452529	FGB12107	0.503165	0.00503165
ERR3452529	FGB79330	0.461149	0.00461149
ERR3452529	FGB38642	0.390192	0.00390192
ERR3452529	FGB1670	0.370673	0.00370673
ERR3452529	Clostridiaceae	0.346785	0.00346785
ERR3452529	FGB4690	0.266361	0.00266361
ERR3452529	Muribaculaceae	0.256416	0.00256416
ERR3452529	Peptostreptococcaceae	0.207729	0.00207729
ERR3452529	Akkermansiaceae	0.183841	0.00183841
ERR3452529	FGB629	0.181982	0.00181982
ERR3452529	Eubacteriales_Family_XIII_Incertae_Sedis	0.179187	0.00179187
ERR3452529	Anaerovoracaceae	0.175196	0.00175196
ERR3452529	Tannerellaceae	0.171057	0.00171057
ERR3452529	FGB3057	0.1659	0.001659
ERR3452529	FGB3038	0.16219	0.0016219
ERR3452529	FGB1347	0.13234	0.0013234
ERR3452529	FGB1262	0.112717	0.00112717
ERR3452529	FGB3070	0.110463	0.00110463
ERR3452529	Eubacteriaceae	0.110323	0.00110323
ERR3452529	Barnesiellaceae	0.108972	0.00108972
ERR3452529	Erysipelotrichaceae	0.106421	0.00106421
ERR3452529	Streptococcaceae	0.101204	0.00101204
ERR3452529	FGB2890	0.07757	0.0007757
ERR3452529	FGB84486	0.076514	0.00076514
ERR3452529	FGB93799	0.071437	0.00071437
ERR3452529	FGB2875	0.058071	0.00058071
ERR3452529	Butyricicoccaceae	0.053197	0.00053197
ERR3452529	FGB2917	0.052825	0.00052825
ERR3452529	Lactobacillaceae	0.049862	0.00049862
ERR3452529	Actinomycetaceae	0.049257	0.00049257
ERR3452529	Christensenellaceae	0.049251	0.00049251
ERR3452529	Bacillota_unclassified	0.047474	0.00047474
ERR3452529	FGB2919	0.041885	0.00041885
ERR3452529	FGB36777	0.03583	0.0003583
ERR3452529	Desulfovibrionaceae	0.034746	0.00034746
ERR3452529	Candidatus_Saccharibacteria_unclassified	0.028933	0.00028933
ERR3452529	Prevotellaceae	0.028217	0.00028217
ERR3452529	FGB320	0.026815	0.00026815
ERR3452529	FGB1374	0.0262	0.000262
ERR3452529	FGB1380	0.024718	0.00024718
ERR3452529	Turicibacteraceae	0.024624	0.00024624
ERR3452529	FGB3023	0.023542	0.00023542
ERR3452529	FGB1126	0.022329	0.00022329
ERR3452529	FGB1292	0.018122	0.00018122
ERR3452529	Oxalobacteraceae	0.016858	0.00016858
ERR3452529	FGB82363	0.016654	0.00016654
ERR3452529	Enterobacteriaceae	0.015946	0.00015946
ERR3452529	Beduinellaceae	0.015599	0.00015599
ERR3452529	FGB92029	0.013951	0.00013951
ERR3452529	Bianqueaceae	0.012484	0.00012484
ERR3452529	FGB9491	0.012172	0.00012172
ERR3452529	Yeguiaceae	0.011277	0.00011277
ERR3452529	FGB94810	0.010902	0.00010902
ERR3452529	FGB2937	0.009824	9.824e-05
ERR3452529	FGB88349	0.009684	9.684e-05
ERR3452529	FGB93792	0.009316	9.316e-05
ERR3452529	FGB3034	0.009239	9.239e-05
ERR3452529	FGB3009	0.008964	8.964e-05
ERR3452529	FGB667	0.008721	8.721e-05
ERR3452529	FGB94733	0.007886	7.886e-05
ERR3452529	FGB94588	0.007801	7.801e-05
ERR3452529	Sutterellaceae	0.007357	7.357e-05
ERR3452529	FGB3048	0.006888	6.888e-05
ERR3452529	FGB73178	0.00568	5.68e-05
ERR3452529	FGB1011	0.005145	5.145e-05
ERR3452529	FGB77202	0.004974	4.974e-05
ERR3452529	FGB93863	0.004899	4.899e-05
ERR3452529	FGB2920	0.003685	3.685e-05
ERR3452529	FGB9272	0.002732	2.732e-05
ERR3452529	FGB3047	0.001835	1.835e-05
ERR3452529	FGB41334	0.00112	1.12e-05
ERR3452529	FGB2893	0.000958	9.58e-06
ERR3452529	Puniceicoccaceae	0.000899	8.99e-06
ERR3452529	FGB48199	0.000603	6.03e-06
ERR3452529	FGB2834	0.000582	5.82e-06
ERR3452529	FGB1539	0.000352	3.52e-06
ERR3452529	FGB2915	0.000334	3.34e-06
ERR3452529	FGB45631	0.0002	2e-06
ERR3452574	Lachnospiraceae	28.487178	0.284872
ERR3452574	Oscillospiraceae	16.828086	0.168281
ERR3452574	FGB94545	7.883432	0.0788343
ERR3452574	Bacteroidaceae	6.383847	0.0638385
ERR3452574	Rikenellaceae	4.390973	0.0439097
ERR3452574	Eubacteriales_incertae_sedis	2.281922	0.0228192
ERR3452574	FGB3054	1.634542	0.0163454
ERR3452574	FGB14936	1.527878	0.0152788
ERR3452574	FGB79315	1.334681	0.0133468
ERR3452574	Akkermansiaceae	1.272195	0.0127219
ERR3452574	FGB1765	0.802261	0.00802261
ERR3452574	FGB84486	0.710488	0.00710488
ERR3452574	Eggerthellaceae	0.563955	0.00563955
ERR3452574	Eubacteriales_unclassified	0.54971	0.0054971
ERR3452574	FGB77988	0.540606	0.00540606
ERR3452574	Clostridiaceae	0.482346	0.00482346
ERR3452574	Sutterellaceae	0.465238	0.00465238
ERR3452574	FGB1776	0.424622	0.00424622
ERR3452574	Acidaminococcaceae	0.418528	0.00418528
ERR3452574	Barnesiellaceae	0.417385	0.00417385
ERR3452574	FGB1670	0.380771	0.00380771
ERR3452574	Beduinellaceae	0.367484	0.00367484
ERR3452574	FGB2992	0.360928	0.00360928
ERR3452574	Methanobacteriaceae	0.346985	0.00346985
ERR3452574	Coprobacillaceae	0.320648	0.00320648
ERR3452574	FGB72924	0.287246	0.00287246
ERR3452574	Butyricicoccaceae	0.272001	0.00272001
ERR3452574	Tannerellaceae	0.25539	0.0025539
ERR3452574	Acutalibacteraceae	0.235481	0.00235481
ERR3452574	FGB3057	0.226886	0.00226886
ERR3452574	Odoribacteraceae	0.167291	0.00167291
ERR3452574	Eubacteriaceae	0.164512	0.00164512
ERR3452574	FGB2952	0.158044	0.00158044
ERR3452574	Desulfovibrionaceae	0.141766	0.00141766
ERR3452574	FGB10309	0.128599	0.00128599
ERR3452574	Coriobacteriaceae	0.12655	0.0012655
ERR3452574	FGB93792	0.109502	0.00109502
ERR3452574	FGB667	0.108866	0.00108866
ERR3452574	FGB58251	0.10423	0.0010423
ERR3452574	Candidatus_Gastranaerophilales_unclassified	0.098779	0.00098779
ERR3452574	Actinomycetaceae	0.096369	0.00096369
ERR3452574	Erysipelotrichaceae	0.090491	0.00090491
ERR3452574	FGB1292	0.080702	0.00080702
ERR3452574	FGB1779	0.080379	0.00080379
ERR3452574	FGB3038	0.078855	0.00078855
ERR3452574	Anaerotignaceae	0.076841	0.00076841
ERR3452574	FGB2932	0.071758	0.00071758
ERR3452574	Streptococcaceae	0.066926	0.00066926
ERR3452574	FGB92044	0.065589	0.00065589
ERR3452574	Eubacteriales_Family_XIII_Incertae_Sedis	0.061409	0.00061409
ERR3452574	FGB2982	0.05299	0.0005299
ERR3452574	FGB2959	0.05274	0.0005274
ERR3452574	FGB4690	0.05257	0.0005257
ERR3452574	FGB2106	0.049565	0.00049565
ERR3452574	FGB2404	0.044959	0.00044959
ERR3452574	Bifidobacteriaceae	0.042179	0.00042179
ERR3452574	FGB4616	0.040192	0.00040192
ERR3452574	FGB3047	0.039904	0.00039904
ERR3452574	FGB38642	0.036642	0.00036642
ERR3452574	FGB9345	0.035835	0.00035835
ERR3452574	FGB79291	0.027743	0.00027743
ERR3452574	FGB9989	0.026927	0.00026927
ERR3452574	FGB92040	0.026348	0.00026348
ERR3452574	Enterobacteriaceae	0.025873	0.00025873
ERR3452574	Peptostreptococcaceae	0.024534	0.00024534
ERR3452574	Prevotellaceae	0.024103	0.00024103
ERR3452574	Candidatus_Saccharibacteria_unclassified	0.02201	0.0002201
ERR3452574	Oxalobacteraceae	0.021598	0.00021598
ERR3452574	FGB3023	0.021515	0.00021515
ERR3452574	FGB2918	0.021217	0.00021217
ERR3452574	FGB88349	0.020476	0.00020476
ERR3452574	FGB78317	0.018649	0.00018649
ERR3452574	Bacillota_unclassified	0.01857	0.0001857
ERR3452574	FGB79330	0.017844	0.00017844
ERR3452574	FGB3009	0.016984	0.00016984
ERR3452574	FGB77220	0.015283	0.00015283
ERR3452574	Porphyromonadaceae	0.01487	0.0001487
ERR3452574	FGB2936	0.013671	0.00013671
ERR3452574	Christensenellaceae	0.013418	0.00013418
ERR3452574	FGB1126	0.010939	0.00010939
ERR3452574	FGB1359	0.010389	0.00010389
ERR3452574	FGB94588	0.00976	9.76e-05
ERR3452574	FGB94683	0.009349	9.349e-05
ERR3452574	FGB94479	0.007554	7.554e-05
ERR3452574	FGB1217	0.00706	7.06e-05
ERR3452574	FGB9828	0.006566	6.566e-05
ERR3452574	FGB78645	0.005356	5.356e-05
ERR3452574	FGB77202	0.004483	4.483e-05
ERR3452574	Bacteria_unclassified	0.003982	3.982e-05
ERR3452574	FGB11916	0.003692	3.692e-05
ERR3452574	Bianqueaceae	0.003114	3.114e-05
ERR3452574	FGB10239	0.002833	2.833e-05
ERR3452574	FGB4605	0.002726	2.726e-05
ERR3452574	Yeguiaceae	0.002711	2.711e-05
ERR3452574	FGB36777	0.002179	2.179e-05
ERR3452574	FGB3004	0.002001	2.001e-05
ERR3452574	FGB93863	0.001912	1.912e-05
ERR3452574	Micrococcaceae	0.001781	1.781e-05
ERR3452574	Gemellaceae	0.001736	1.736e-05
ERR3452574	FGB78183	0.001347	1.347e-05
ERR3452574	FGB45631	0.000811	8.11e-06
ERR3452574	FGB1011	0.000676	6.76e-06
ERR3452574	FGB1306	0.000578	5.78e-06
ERR3452574	FGB2984	0.000423	4.23e-06
ERR3452574	Anaerovoracaceae	0.000373	3.73e-06
ERR3452574	FGB82363	0.000166	1.66e-06
ERR3452574	FGB3034	0.000157	1.57e-06
ERR3452574	FGB2919	0.000135	1.35e-06
ERR3452574	Feifaniaceae	0.000119	1.19e-06
ERR3452699	Oscillospiraceae	33.775299	0.337753
ERR3452699	Lachnospiraceae	28.60555	0.286056
ERR3452699	Eubacteriaceae	3.445042	0.0344504
ERR3452699	Coriobacteriaceae	2.364056	0.0236406
ERR3452699	Eubacteriales_unclassified	2.342015	0.0234202
ERR3452699	Bacteroidaceae	2.128345	0.0212834
ERR3452699	Rikenellaceae	1.959644	0.0195964
ERR3452699	Prevotellaceae	1.661251	0.0166125
ERR3452699	Clostridiaceae	1.49305	0.0149305
ERR3452699	Acidaminococcaceae	1.375353	0.0137535
ERR3452699	Tannerellaceae	0.936015	0.00936015
ERR3452699	Streptococcaceae	0.736099	0.00736099
ERR3452699	Butyricicoccaceae	0.650092	0.00650092
ERR3452699	Bifidobacteriaceae	0.547014	0.00547014
ERR3452699	Eggerthellaceae	0.516829	0.00516829
ERR3452699	Anaerotignaceae	0.499199	0.00499199
ERR3452699	Enterobacteriaceae	0.305835	0.00305835
ERR3452699	Peptostreptococcaceae	0.292902	0.00292902
ERR3452699	Turicibacteraceae	0.264715	0.00264715
ERR3452699	Veillonellaceae	0.230814	0.00230814
ERR3452699	Eubacteriales_Family_XIII_Incertae_Sedis	0.19439	0.0019439
ERR3452699	Erysipelotrichaceae	0.180249	0.00180249
ERR3452699	Desulfovibrionaceae	0.151605	0.00151605
ERR3452699	FGB11479	0.150177	0.00150177
ERR3452699	Candidatus_Saccharibacteria_unclassified	0.148148	0.00148148
ERR3452699	Lactobacillaceae	0.137992	0.00137992
ERR3452699	Actinomycetaceae	0.128839	0.00128839
ERR3452699	Pasteurellaceae	0.114055	0.00114055
ERR3452699	Coprobacillaceae	0.104853	0.00104853
ERR3452699	Candidatus_Gastranaerophilales_unclassified	0.088659	0.00088659
ERR3452699	FGB1473	0.086756	0.00086756
ERR3452699	Bacillota_unclassified	0.085074	0.00085074
ERR3452699	Micrococcaceae	0.08082	0.0008082
ERR3452699	FGB8179	0.080372	0.00080372
ERR3452699	Barnesiellaceae	0.064981	0.00064981
ERR3452699	FGB72924	0.061207	0.00061207
ERR3452699	Bacteria_unclassified	0.05445	0.0005445
ERR3452699	Odoribacteraceae	0.050008	0.00050008
ERR3452699	Sutterellaceae	0.018599	0.00018599
ERR3452699	Atopobiaceae	0.017981	0.00017981
ERR3452699	Christensenellaceae	0.012793	0.00012793
ERR3452699	FGB84486	0.008426	8.426e-05
ERR3452699	Akkermansiaceae	0.006483	6.483e-05
ERR3452699	FGB93863	0.006203	6.203e-05
ERR3452699	FGB49339	0.005681	5.681e-05
ERR3452699	Carnobacteriaceae	0.003636	3.636e-05
ERR3452699	Anaerovoracaceae	0.003375	3.375e-05
ERR3452699	FGB3057	0.002308	2.308e-05
ERR3452699	Enterococcaceae	0.002171	2.171e-05
ERR3452699	FGB14936	0.000976	9.76e-06
