sampleID	name	taxid	counts	relabundance
ERR3452318	Fusobacteriota	32066	170	0.00002
ERR3452318	Methanobacteriota	28890	198125	0.02631
ERR3452318	Chordata	7711	46	0.00001
ERR3452318	Uroviricota	2731618	7529	0.00100
ERR3452529	Bacillota	1239	3618988	0.37674
ERR3452529	Actinomycetota	201174	2571758	0.26772
ERR3452529	Cyanobacteriota	1117	27	0.00000
ERR3452529	Chloroflexota	200795	11	0.00000
ERR3452529	Bacteroidota	976	1856748	0.19329
ERR3452529	Fibrobacterota	65842	11	0.00000
ERR3452529	Verrucomicrobiota	74201	40752	0.00424
ERR3452529	Planctomycetota	203682	20	0.00000
ERR3452529	Pseudomonadota	1224	19912	0.00207
ERR3452529	Thermodesulfobacteriota	200940	5230	0.00054
ERR3452529	Spirochaetota	203691	177	0.00002
ERR3452529	Myxococcota	2818505	48	0.00000
ERR3452529	Campylobacterota	29547	45	0.00000
ERR3452529	Acidobacteriota	57723	14	0.00000
ERR3452529	Candidatus Saccharimonadota	95818	782	0.00008
ERR3452529	Fusobacteriota	32066	147	0.00002
ERR3452529	Synergistota	508458	66	0.00001
ERR3452529	Deinococcota	1297	14	0.00000
ERR3452529	Methanobacteriota	28890	1467522	0.15277
ERR3452529	Chordata	7711	42	0.00000
ERR3452529	Uroviricota	2731618	23866	0.00248
ERR3452574	Bacillota	1239	5794677	0.67113
ERR3452574	Actinomycetota	201174	140090	0.01623
ERR3452574	Mycoplasmatota	544448	13	0.00000
ERR3452574	Cyanobacteriota	1117	13	0.00000
ERR3452574	Bacteroidota	976	2369281	0.27441
ERR3452574	Verrucomicrobiota	74201	237630	0.02752
ERR3452574	Planctomycetota	203682	35	0.00000
ERR3452574	Pseudomonadota	1224	22819	0.00264
ERR3452574	Thermodesulfobacteriota	200940	14371	0.00166
ERR3452574	Spirochaetota	203691	190	0.00002
ERR3452574	Campylobacterota	29547	34	0.00000
ERR3452574	Myxococcota	2818505	19	0.00000
ERR3452574	Candidatus Saccharimonadota	95818	1616	0.00019
ERR3452574	Fusobacteriota	32066	56	0.00001
ERR3452574	Synergistota	508458	13	0.00000
ERR3452574	Deinococcota	1297	12	0.00000
ERR3452574	Methanobacteriota	28890	33867	0.00392
ERR3452574	Thermoplasmatota	2283796	20	0.00000
ERR3452574	Chordata	7711	53	0.00001
ERR3452574	Uroviricota	2731618	19370	0.00224
ERR3452699	Bacillota	1239	7126020	0.81960
ERR3452699	Actinomycetota	201174	393569	0.04527
ERR3452699	Bacteroidota	976	1056376	0.12150
ERR3452699	Pseudomonadota	1224	104312	0.01200
ERR3452699	Verrucomicrobiota	74201	1660	0.00019
ERR3452699	Campylobacterota	29547	48	0.00001
ERR3452699	Thermodesulfobacteriota	200940	39	0.00000
ERR3452699	Myxococcota	2818505	11	0.00000
ERR3452699	Candidatus Saccharimonadota	95818	3686	0.00042
ERR3452699	Fusobacteriota	32066	227	0.00003
ERR3452699	Chordata	7711	19	0.00000
ERR3452699	Methanobacteriota	28890	11	0.00000
ERR3452699	Uroviricota	2731618	8569	0.00099
