file	percent	reads	taxon_id	taxon_name
ERR3450203.kaiju.out	0.002251	449	543371	Thermoanaerobacterales Family III. Incertae Sedis
ERR3450203.kaiju.out	0.002251	449	2093822	Candidatus Nanosynbacteraceae
ERR3450203.kaiju.out	0.002226	444	186823	Alicyclobacillaceae
ERR3450203.kaiju.out	0.002196	438	558415	Marinilabiliaceae
ERR3450203.kaiju.out	0.002156	430	31957	Propionibacteriaceae
ERR3450203.kaiju.out	0.002120	423	72294	Campylobacteraceae
ERR3450203.kaiju.out	0.002090	417	2810281	Turicibacteraceae
ERR3450203.kaiju.out	0.002065	412	81850	Leuconostocaceae
ERR3450203.kaiju.out	0.001980	395	45401	Hyphomicrobiaceae
ERR3450203.kaiju.out	0.001895	378	2146	Acholeplasmataceae
ERR3450203.kaiju.out	0.001840	367	2005523	Paludibacteraceae
ERR3450203.kaiju.out	0.001835	366	1853230	Crocinitomicaceae
ERR3450203.kaiju.out	0.001790	357	191412	Chlorobiaceae
ERR3450203.kaiju.out	0.001744	348	2194	Methanomicrobiaceae
ERR3450203.kaiju.out	0.001739	347	186821	Sporolactobacillaceae
ERR3450203.kaiju.out	0.001669	333	2770092	Tepidanaerobacteraceae
ERR3450203.kaiju.out	0.001649	329	206379	Nitrosomonadaceae
ERR3450203.kaiju.out	0.001649	329	213117	Desulfohalobiaceae
ERR3450203.kaiju.out	0.001534	306	972	Halanaerobiaceae
ERR3450203.kaiju.out	0.001494	298	444	Legionellaceae
ERR3450203.kaiju.out	0.001454	290	85016	Cellulomonadaceae
ERR3450203.kaiju.out	0.001444	288	41297	Sphingomonadaceae
ERR3450203.kaiju.out	0.001439	287	267888	Pseudoalteromonadaceae
ERR3450203.kaiju.out	0.001434	286	72293	Helicobacteraceae
ERR3450203.kaiju.out	0.001429	285	213422	Geobacteraceae
ERR3450203.kaiju.out	0.001419	283	1853232	Hymenobacteraceae
ERR3450203.kaiju.out	0.001404	280	2092	Mycoplasmataceae
ERR3450203.kaiju.out	0.001363	272	1903409	Erwiniaceae
ERR3450203.kaiju.out	0.001343	268	72275	Alteromonadaceae
ERR3450203.kaiju.out	0.001323	264	134621	Verrucomicrobia subdivision 3
ERR3450203.kaiju.out	0.001303	260	186824	Thermoactinomycetaceae
ERR3450203.kaiju.out	0.001268	253	267891	Moritellaceae
ERR3450203.kaiju.out	0.001213	242	200667	Flammeovirgaceae
ERR3450203.kaiju.out	0.001173	234	28256	Halomonadaceae
ERR3450203.kaiju.out	0.001138	227	41294	Bradyrhizobiaceae
ERR3450203.kaiju.out	0.001123	224	568386	Sinobacteraceae
ERR3450203.kaiju.out	0.001088	217	543347	Clostridiales Family XVI. Incertae Sedis
ERR3450203.kaiju.out	0.001073	214	2070	Pseudonocardiaceae
ERR3450203.kaiju.out	0.001068	213	403	Methylococcaceae
ERR3450203.kaiju.out	0.001063	212	1185407	Defluviitaleaceae
ERR3450203.kaiju.out	0.001053	210	2772226	Sulfuricellaceae
ERR3450203.kaiju.out	0.001038	207	2008790	Thiobacillaceae
ERR3450203.kaiju.out	0.001028	205	2206	Methanosarcinaceae
ERR3450203.kaiju.out	0.001013	202	135620	Oceanospirillaceae
ERR3450203.kaiju.out	0.001008	201	1499392	Chromobacteriaceae
ERR3450203.kaiju.out	0.000998	199	2042895	Gottschalkiaceae
ERR3450203.kaiju.out	0.000983	196	1903411	Yersiniaceae
ERR3450203.kaiju.out	0.000978	195	1903414	Morganellaceae
ERR3450203.kaiju.out	0.000957	191	1240483	Orbaceae
ERR3450203.kaiju.out	0.000932	186	543372	Thermoanaerobacterales Family IV. Incertae Sedis
ERR3450203.kaiju.out	0.000922	184	2004	Streptosporangiaceae
ERR3450203.kaiju.out	0.000917	183	2483367	Sedimentisphaeraceae
ERR3450203.kaiju.out	0.000877	175	2008794	Zoogloeaceae
ERR3450203.kaiju.out	0.000837	167	2770093	Thermosediminibacteraceae
ERR3450203.kaiju.out	0.000817	163	541019	Gracilibacteraceae
ERR3450203.kaiju.out	0.000762	152	1648490	Rubritaleaceae
ERR3450203.kaiju.out	0.000707	141	53434	Halobacteroidaceae
ERR3450203.kaiju.out	0.000707	141	69277	Phyllobacteriaceae
ERR3450203.kaiju.out	0.000702	140	32033	Xanthomonadaceae
ERR3450203.kaiju.out	0.000687	137	1213	Prochloraceae
ERR3450203.kaiju.out	0.000682	136	85021	Intrasporangiaceae
ERR3450203.kaiju.out	0.000632	126	189779	Nitrospiraceae
ERR3450203.kaiju.out	0.000632	126	255475	Aurantimonadaceae
ERR3450203.kaiju.out	0.000627	125	28056	Micromonosporaceae
ERR3450203.kaiju.out	0.000627	125	2152899	Candidatus Fermentibacteraceae
ERR3450203.kaiju.out	0.000622	124	213121	Desulfobulbaceae
ERR3450203.kaiju.out	0.000617	123	506	Alcaligenaceae
ERR3450203.kaiju.out	0.000617	123	85019	Brevibacteriaceae
ERR3450203.kaiju.out	0.000607	121	1762	Mycobacteriaceae
ERR3450203.kaiju.out	0.000607	121	539003	Bacillales Family X. Incertae Sedis
ERR3450203.kaiju.out	0.000581	116	76892	Caulobacteraceae
ERR3450203.kaiju.out	0.000566	113	85025	Nocardiaceae
ERR3450203.kaiju.out	0.000561	112	1202464	Dehalococcoidaceae
ERR3450203.kaiju.out	0.000536	107	1921783	Kiritimatiellaceae
ERR3450203.kaiju.out	0.000511	102	1046	Chromatiaceae
ERR3450203.kaiju.out	0.000511	102	183710	Deinococcaceae
ERR3450203.kaiju.out	0.000511	102	213421	Desulfuromonadaceae
ERR3450203.kaiju.out	0.000506	101	1643949	Petrotogaceae
ERR3450203.kaiju.out	0.000481	96	204434	Acidobacteriaceae
ERR3450203.kaiju.out	0.000476	95	539000	Clostridiales Family XVII. Incertae Sedis
ERR3450203.kaiju.out	0.000471	94	1706375	Spongiibacteraceae
ERR3450203.kaiju.out	0.000471	94	1903410	Pectobacteriaceae
ERR3450203.kaiju.out	0.000466	93	85015	Nocardioidaceae
ERR3450203.kaiju.out	0.000466	93	135616	Piscirickettsiaceae
ERR3450203.kaiju.out	0.000466	93	2771471	Thiovulaceae
ERR3450203.kaiju.out	0.000441	88	1853234	Persicobacteraceae
ERR3450203.kaiju.out	0.000431	86	85030	Geodermatophilaceae
ERR3450203.kaiju.out	0.000416	83	31	Myxococcaceae
ERR3450203.kaiju.out	0.000411	82	213468	Syntrophaceae
ERR3450203.kaiju.out	0.000411	82	1890438	Leptolyngbyaceae
ERR3450203.kaiju.out	0.000396	79	203488	Dictyoglomaceae
ERR3450203.kaiju.out	0.000396	79	715221	Caldicoprobacteraceae
ERR3450203.kaiju.out	0.000391	78	135617	Thiotrichaceae
ERR3450203.kaiju.out	0.000391	78	1775411	Rhodanobacteraceae
ERR3450203.kaiju.out	0.000386	77	72276	Ectothiorhodospiraceae
ERR3450203.kaiju.out	0.000381	76	2814874	Neomegalonemataceae
ERR3450203.kaiju.out	0.000376	75	2303730	Prochlorotrichaceae
ERR3450203.kaiju.out	0.000371	74	188711	Thermodesulfobacteriaceae
ERR3450203.kaiju.out	0.000371	74	1937960	Lewinellaceae
ERR3450203.kaiju.out	0.000361	72	267893	Idiomarinaceae
ERR3450203.kaiju.out	0.000361	72	1643950	Fervidobacteriaceae
ERR3450203.kaiju.out	0.000356	71	267890	Shewanellaceae
ERR3450203.kaiju.out	0.000346	69	2131	Spiroplasmataceae
ERR3450203.kaiju.out	0.000341	68	1042322	Demequinaceae
ERR3450203.kaiju.out	0.000336	67	188709	Thermotogaceae
ERR3450203.kaiju.out	0.000331	66	267889	Colwelliaceae
ERR3450203.kaiju.out	0.000326	65	1840213	Lentimicrobiaceae
ERR3450203.kaiju.out	0.000321	64	1334117	Melioribacteraceae
ERR3450203.kaiju.out	0.000316	63	191394	Deferribacteraceae
ERR3450203.kaiju.out	0.000316	63	2691357	Pirellulaceae
ERR3450203.kaiju.out	0.000316	63	2800062	Robiginitomaculaceae
ERR3450203.kaiju.out	0.000311	62	1573805	Marinifilaceae
ERR3450203.kaiju.out	0.000301	60	126	Planctomycetaceae
ERR3450203.kaiju.out	0.000296	59	188786	Thermaceae
ERR3450203.kaiju.out	0.000291	58	1162	Nostocaceae
ERR3450203.kaiju.out	0.000291	58	2771472	Sulfurovaceae
ERR3450203.kaiju.out	0.000286	57	84642	Aeromonadaceae
ERR3450203.kaiju.out	0.000286	57	1706371	Cellvibrionaceae
ERR3450203.kaiju.out	0.000276	55	2259	Thermococcaceae
ERR3450203.kaiju.out	0.000276	55	1890426	Synechococcaceae
ERR3450203.kaiju.out	0.000271	54	32011	Methylophilaceae
ERR3450203.kaiju.out	0.000261	52	92713	Parachlamydiaceae
ERR3450203.kaiju.out	0.000256	51	224372	Alcanivoracaceae
ERR3450203.kaiju.out	0.000251	50	213116	Desulfomicrobiaceae
ERR3450203.kaiju.out	0.000251	50	224379	Hahellaceae
ERR3450203.kaiju.out	0.000246	49	224027	Hydrogenothermaceae
ERR3450203.kaiju.out	0.000246	49	1577788	Methanomassiliicoccaceae
ERR3450203.kaiju.out	0.000241	48	1890500	Hyellaceae
ERR3450203.kaiju.out	0.000231	46	39	Archangiaceae
ERR3450203.kaiju.out	0.000221	44	2762286	Fulvivirgaceae
ERR3450203.kaiju.out	0.000216	43	2183	Methanococcaceae
ERR3450203.kaiju.out	0.000216	43	39782	Blattabacteriaceae
ERR3450203.kaiju.out	0.000216	43	85026	Gordoniaceae
ERR3450203.kaiju.out	0.000216	43	622451	Actinopolysporaceae
ERR3450203.kaiju.out	0.000216	43	2008793	Sterolibacteriaceae
ERR3450203.kaiju.out	0.000211	42	772	Bartonellaceae
ERR3450203.kaiju.out	0.000211	42	1491775	Proteinivoraceae
ERR3450203.kaiju.out	0.000206	41	33925	Entomoplasmataceae
ERR3450203.kaiju.out	0.000206	41	1522127	Catalimonadaceae
ERR3450203.kaiju.out	0.000206	41	1763524	Isosphaeraceae
ERR3450203.kaiju.out	0.000206	41	1892252	Microcoleaceae
ERR3450203.kaiju.out	0.000201	40	1392996	Candidatus Methanoperedenaceae
ERR3450203.kaiju.out	0.000196	39	88404	Methanocorpusculaceae
ERR3450203.kaiju.out	0.000196	39	335929	Erythrobacteraceae
ERR3450203.kaiju.out	0.000190	38	255474	Parvularculaceae
ERR3450203.kaiju.out	0.000190	38	1643948	Kosmotogaceae
ERR3450203.kaiju.out	0.000190	38	1903412	Hafniaceae
ERR3450203.kaiju.out	0.000185	37	1644056	Haloferacaceae
ERR3450203.kaiju.out	0.000175	35	1903416	Budviciaceae
ERR3450203.kaiju.out	0.000170	34	69657	Hyphomonadaceae
ERR3450203.kaiju.out	0.000170	34	388449	Ktedonobacteraceae
ERR3450203.kaiju.out	0.000170	34	1127830	Candidatus Brocadiaceae
ERR3450203.kaiju.out	0.000170	34	1191479	Magnetococcaceae
ERR3450203.kaiju.out	0.000170	34	1892254	Oscillatoriaceae
ERR3450203.kaiju.out	0.000170	34	2066474	Endozoicomonadaceae
ERR3450203.kaiju.out	0.000165	33	31993	Methylocystaceae
ERR3450203.kaiju.out	0.000160	32	558314	Desulfurobacteriaceae
ERR3450203.kaiju.out	0.000155	31	1663426	Fimbriimonadaceae
ERR3450203.kaiju.out	0.000155	31	1813606	Balneolaceae
ERR3450203.kaiju.out	0.000155	31	1970190	Salinivirgaceae
ERR3450203.kaiju.out	0.000150	30	75787	Rhodocyclaceae
ERR3450203.kaiju.out	0.000150	30	83676	Nocardiopsaceae
ERR3450203.kaiju.out	0.000150	30	453228	Desulfarculaceae
ERR3450203.kaiju.out	0.000150	30	471823	Haloplasmataceae
ERR3450203.kaiju.out	0.000150	30	475964	Caldilineaceae
ERR3450203.kaiju.out	0.000145	29	74712	Frankiaceae
ERR3450203.kaiju.out	0.000145	29	213465	Syntrophobacteraceae
ERR3450203.kaiju.out	0.000145	29	1890431	Chamaesiphonaceae
ERR3450203.kaiju.out	0.000145	29	1937962	Microscillaceae
ERR3450203.kaiju.out	0.000140	28	85020	Dermabacteraceae
ERR3450203.kaiju.out	0.000140	28	415002	Puniceicoccaceae
ERR3450203.kaiju.out	0.000140	28	543349	Symbiobacteriaceae
ERR3450203.kaiju.out	0.000140	28	768668	Thermogemmatisporaceae
ERR3450203.kaiju.out	0.000140	28	1892251	Coleofasciculaceae
ERR3450203.kaiju.out	0.000135	27	1890436	Pseudanabaenaceae
ERR3450203.kaiju.out	0.000135	27	1892263	Hapalosiphonaceae
ERR3450203.kaiju.out	0.000130	26	2048906	Pyrinomonadaceae
ERR3450203.kaiju.out	0.000130	26	2517203	Candidatus Methanomethylophilaceae
ERR3450203.kaiju.out	0.000130	26	2812024	Syntrophotaleaceae
ERR3450203.kaiju.out	0.000125	25	64898	Aquificaceae
ERR3450203.kaiju.out	0.000125	25	85018	Dermatophilaceae
ERR3450203.kaiju.out	0.000125	25	2762302	Reichenbachiellaceae
ERR3450203.kaiju.out	0.000120	24	1676650	Limnochordaceae
ERR3450203.kaiju.out	0.000120	24	2805400	Actinopolymorphaceae
ERR3450203.kaiju.out	0.000115	23	49	Polyangiaceae
ERR3450203.kaiju.out	0.000115	23	563843	Rhodothermaceae
ERR3450203.kaiju.out	0.000115	23	1962854	Calditrichaceae
ERR3450203.kaiju.out	0.000115	23	2008795	Azonexaceae
ERR3450203.kaiju.out	0.000115	23	2762306	Roseivirgaceae
ERR3450203.kaiju.out	0.000110	22	119859	Tolypothrichaceae
ERR3450203.kaiju.out	0.000110	22	143067	Methanotrichaceae
ERR3450203.kaiju.out	0.000110	22	666507	Phycisphaeraceae
ERR3450203.kaiju.out	0.000110	22	1508635	Roseiflexaceae
ERR3450203.kaiju.out	0.000110	22	1890450	Aphanothecaceae
ERR3450203.kaiju.out	0.000110	22	2690158	Anaerohalosphaeraceae
ERR3450203.kaiju.out	0.000105	21	145357	Dermacoccaceae
ERR3450203.kaiju.out	0.000105	21	335928	Xanthobacteraceae
ERR3450203.kaiju.out	0.000105	21	1890464	Chroococcaceae
ERR3450203.kaiju.out	0.000105	21	1937961	Haliscomenobacteraceae
ERR3450203.kaiju.out	0.000100	20	1655514	Pelagibacteraceae
ERR3450203.kaiju.out	0.000100	20	1963271	Halorubraceae
ERR3450203.kaiju.out	0.000095	19	189770	Chrysiogenaceae
ERR3450203.kaiju.out	0.000095	19	219687	Gemmatimonadaceae
ERR3450203.kaiju.out	0.000095	19	224380	Desulfonatronaceae
ERR3450203.kaiju.out	0.000095	19	332161	Solibacteraceae
ERR3450203.kaiju.out	0.000095	19	407032	Nitrospinaceae
ERR3450203.kaiju.out	0.000095	19	1771359	Thorselliaceae
ERR3450203.kaiju.out	0.000095	19	1963268	Haloarculaceae
ERR3450203.kaiju.out	0.000090	18	117942	Desulfurellaceae
ERR3450203.kaiju.out	0.000090	18	118882	Brucellaceae
ERR3450203.kaiju.out	0.000090	18	267892	Ferrimonadaceae
ERR3450203.kaiju.out	0.000090	18	1524215	Anaeromyxobacteraceae
ERR3450203.kaiju.out	0.000090	18	1853233	Thermonemataceae
ERR3450203.kaiju.out	0.000085	17	597359	Kiloniellaceae
ERR3450203.kaiju.out	0.000085	17	1217100	Jiangellaceae
ERR3450203.kaiju.out	0.000085	17	1333713	Schleiferiaceae
ERR3450203.kaiju.out	0.000085	17	2762284	Flexibacteraceae
ERR3450203.kaiju.out	0.000080	16	89374	Saprospiraceae
ERR3450203.kaiju.out	0.000080	16	145360	Sanguibacteraceae
ERR3450203.kaiju.out	0.000080	16	566277	Lentisphaeraceae
ERR3450203.kaiju.out	0.000080	16	1644061	Natrialbaceae
ERR3450203.kaiju.out	0.000075	15	85002	Sphaerobacteraceae
ERR3450203.kaiju.out	0.000075	15	213483	Bdellovibrionaceae
ERR3450203.kaiju.out	0.000075	15	1400857	Candidatus Competibacteraceae
ERR3450203.kaiju.out	0.000075	15	1501348	Amoebophilaceae
ERR3450203.kaiju.out	0.000075	15	1706372	Halieaceae
